,age,income,member_since_days,M,F,O,U,reward,difficulty,duration,bogo,email,mobile,social,web
0,0.5,0.6666666666666666,0.47995606809445346,0,1,0,0,10,10,120,1,1,1,1,1
1,0.4878048780487806,0.9888888888888888,0.12685337726523882,0,1,0,0,10,10,120,1,1,1,1,1
2,0.6463414634146342,0.12222222222222223,0.15156507413509057,1,0,0,0,10,10,120,1,1,1,1,1
3,0.07317073170731711,0.1333333333333333,0.17517847336628223,1,0,0,0,10,10,120,1,1,1,1,1
4,0.5365853658536586,0.5666666666666667,0.4222954420647995,0,1,0,0,10,10,120,1,1,1,1,1
5,0.524390243902439,0.4,0.08896210873146615,1,0,0,0,10,10,120,1,1,1,1,1
6,0.853658536585366,0.2666666666666666,0.5524437122460186,0,1,0,0,10,10,120,1,1,1,1,1
7,0.4438234689260889,0.3933887952032977,0.3882482152663371,0,0,0,1,10,10,120,1,1,1,1,1
8,0.3902439024390244,0.8222222222222223,0.21636463481603507,1,0,0,0,10,10,120,1,1,1,1,1
9,0.41463414634146345,0.5555555555555556,0.4788577704557935,0,0,1,0,10,10,120,1,1,1,1,1
10,0.4878048780487806,0.7999999999999999,0.014277869302580903,0,1,0,0,10,10,120,1,1,1,1,1
11,0.1829268292682927,0.1333333333333333,0.11861614497528827,1,0,0,0,10,10,120,1,1,1,1,1
12,0.12195121951219515,0.055555555555555525,0.1625480505216913,1,0,0,0,10,10,120,1,1,1,1,1
13,0.19512195121951223,0.08888888888888885,0.03734211971444257,1,0,0,0,10,10,120,1,1,1,1,1
14,0.4878048780487806,0.9444444444444445,0.12465678198791863,0,1,0,0,10,10,120,1,1,1,1,1
15,0.048780487804878064,0.0222222222222222,0.5189456342668863,1,0,0,0,10,10,120,1,1,1,1,1
16,0.6463414634146342,0.5,0.31521142229544197,1,0,0,0,10,10,120,1,1,1,1,1
17,0.7804878048780488,0.033333333333333326,0.7265238879736409,0,1,0,0,10,10,120,1,1,1,1,1
18,0.2073170731707317,0.4444444444444444,0.08237232289950569,1,0,0,0,10,10,120,1,1,1,1,1
19,0.5121951219512195,0.48888888888888893,0.18890719384953314,1,0,0,0,10,10,120,1,1,1,1,1
20,0.4438234689260889,0.3933887952032977,0.11532125205930799,0,0,0,1,10,10,120,1,1,1,1,1
21,0.4878048780487806,0.2666666666666666,0.7528830313014827,1,0,0,0,10,10,120,1,1,1,1,1
22,0.8292682926829269,0.47777777777777775,0.21911037891268526,0,1,0,0,10,10,120,1,1,1,1,1
23,0.6341463414634146,0.5111111111111111,0.14222954420647993,0,1,0,0,10,10,120,1,1,1,1,1
24,0.3414634146341464,0.055555555555555525,0.008786381109280539,1,0,0,0,10,10,120,1,1,1,1,1
25,0.048780487804878064,0.30000000000000004,0.07193849533223495,1,0,0,0,10,10,120,1,1,1,1,1
26,0.02439024390243902,0.14444444444444443,0.5140032948929159,1,0,0,0,10,10,120,1,1,1,1,1
27,0.47560975609756106,0.9555555555555556,0.5381658429434377,0,1,0,0,10,10,120,1,1,1,1,1
28,0.41463414634146345,0.7222222222222222,0.38440417353102685,1,0,0,0,10,10,120,1,1,1,1,1
29,0.6829268292682927,0.4666666666666667,0.1306974190005491,0,1,0,0,10,10,120,1,1,1,1,1
30,0.06097560975609759,0.033333333333333326,0.544206479956068,0,1,0,0,10,10,120,1,1,1,1,1
31,0.10975609756097562,0.09999999999999998,0.008786381109280539,1,0,0,0,10,10,120,1,1,1,1,1
32,0.36585365853658547,0.24444444444444446,0.9917627677100493,1,0,0,0,10,10,120,1,1,1,1,1
33,0.5121951219512195,0.48888888888888893,0.5859417902251509,0,1,0,0,10,10,120,1,1,1,1,1
34,0.13414634146341467,0.011111111111111072,0.3250961010433827,0,1,0,0,10,10,120,1,1,1,1,1
35,0.02439024390243902,0.14444444444444443,0.1790225151015925,0,1,0,0,10,10,120,1,1,1,1,1
36,0.5609756097560976,0.5111111111111111,0.3256452498627127,1,0,0,0,10,10,120,1,1,1,1,1
37,0.25609756097560976,0.4555555555555556,0.228995057660626,1,0,0,0,10,10,120,1,1,1,1,1
38,0.5975609756097562,0.09999999999999998,0.5112575507962658,1,0,0,0,10,10,120,1,1,1,1,1
39,0.4438234689260889,0.3933887952032977,0.48489840746842394,0,0,0,1,10,10,120,1,1,1,1,1
40,0.6097560975609757,0.30000000000000004,0.21691378363536518,0,1,0,0,10,10,120,1,1,1,1,1
